"BSTOPARSNO,N,19,0","BSTOPID,N,19,0","NAME,C,254","STOPTYPE,C,254","LNG,N,19,15","LAT,N,19,15"
0,180750303,경성대학교,마을,129.097898800000000,35.136520040000000
0,180750304,대연동제일은행,마을,129.095053300000000,35.135609250000000
0,180790201,경성대부경대역,마을,129.101151900000000,35.138495310000000
0,180790202,경성대학교후문,마을,129.098487400000000,35.142785240000000
0,180790203,대연롯데캐슬,마을,129.100373500000000,35.140713880000000
0,180790204,유진화학,마을,129.097970000000000,35.143591770000000
0,180790401,대남초등학교,마을,129.096284400000000,35.146732530000000
0,180800103,용호3동주민센터,마을,129.112320500000000,35.120895330000000
0,180800104,이기대입구.용호복지회관,마을,129.112552900000000,35.123177270000000
0,180800201,용주탕,마을,129.112289500000000,35.119501380000000
0,180800202,용호중학교,마을,129.116154100000000,35.118641520000000
0,180800304,용호사거리,마을,129.111856100000000,35.119350570000000
0,180800305,용호동우체국,마을,129.111358200000000,35.117840320000000
0,180800306,용호2동시장,마을,129.110894900000000,35.116019970000000
0,180800307,용호2동주민센터,마을,129.110884500000000,35.114467660000000
0,180800308,부산성모병원,마을,129.110853200000000,35.112438410000000
0,180800401,솔밭공원,마을,129.109708600000000,35.120237620000000
0,180800402,용호사거리,마을,129.111717600000000,35.119809060000000
0,180810303,남부경찰서,마을,129.090661100000000,35.151724690000000
0,180810304,청구아파트,마을,129.089021900000000,35.153864400000000
0,180850203,대연비치아파트,마을,129.108022200000000,35.137739250000000
0,180860201,용호사거리,마을,129.111021600000000,35.119780780000000
0,180860301,예문여자고등학교,마을,129.107913100000000,35.119769700000000
0,180870301,대연푸르지오아파트,마을,129.101427600000000,35.138525000000000
0,180870302,대연힐스테이트푸르지오112동,마을,129.098749500000000,35.142740150000000
0,180870303,대연힐스테이트푸르지오중문,마을,129.100493800000000,35.140821260000000
0,180870304,유진화학,마을,129.098052200000000,35.143738930000000
0,180890102,대천중학교,마을,129.103086700000000,35.127918820000000
0,180890203,평화공원,일반,129.100837800000000,35.126237560000000
0,180890204,평화공원,마을,129.100879300000000,35.126307760000000
0,180900102,동명오거리,마을,129.097631200000000,35.119593760000000
0,180900301,부경대용당캠퍼스정문,마을,129.095933000000000,35.118551040000000
0,180910102,백운포고개,마을,129.112146100000000,35.108771220000000
0,180910201,용호동벽산아파트,마을,129.114845000000000,35.108806000000000
0,180920101,용주탕,마을,129.113628500000000,35.119388210000000
0,180920102,용호동경동아파트,마을,129.117944700000000,35.117484140000000
0,180920103,용호중학교,마을,129.115715500000000,35.118917620000000
0,180930203,삼익아파트,마을,129.088578800000000,35.152807170000000
0,180930204,신원아파트,마을,129.088668000000000,35.152242920000000
0,180960101,성지교회,마을,129.076748300000000,35.125444770000000
0,180960102,우암노인정,마을,129.076189500000000,35.126158180000000
0,180970201,금릉슈퍼,마을,129.075945100000000,35.127029580000000
0,180970301,남구선거관리위원회,마을,129.074817600000000,35.128141500000000
0,180970302,목화빌라삼거리,마을,129.075836400000000,35.128038280000000
0,180970303,한샘어린이집,마을,129.074540800000000,35.128469430000000
0,180980301,목화그린빌라,마을,129.075154100000000,35.129032240000000
0,180990101,신연초등학교 후문,마을,129.077027300000000,35.129365110000000
0,180990102,신연초등학교,마을,129.077364000000000,35.128553800000000
0,180990201,포부대,마을,129.076443800000000,35.130061540000000
0,181000201,신연초등학교 후문,마을,129.077134700000000,35.129489430000000
0,181000202,신연초등학교,마을,129.077568800000000,35.128501350000000
0,181010101,현대석유,마을,129.076981900000000,35.131074240000000
0,181010201,대성주택11동,마을,129.076051000000000,35.130873270000000
0,181010202,수정사,마을,129.075667500000000,35.130746630000000
0,181020101,대성주택,마을,129.076794500000000,35.131868190000000
0,181020102,호명사,마을,129.076231000000000,35.131266700000000
0,181020201,대성주택11동,마을,129.076126000000000,35.130796270000000
0,181020202,수정사,마을,129.075387200000000,35.130866620000000
0,181030101,우성아파트,마을,129.077909400000000,35.132856710000000
0,181030102,탑마트,마을,129.078398000000000,35.133062260000000
0,181030201,대성주택,마을,129.076537700000000,35.131896760000000
0,181030202,우성아파트,마을,129.076853200000000,35.132211060000000
0,181030203,호명사,마을,129.076124800000000,35.131458260000000
0,181050201,청호탕,마을,129.077072400000000,35.133962830000000
0,181070101,현대석유,마을,129.077119600000000,35.131019490000000
0,181090301,부산공업고등학교사거리,마을,129.089894400000000,35.129890800000000
0,181100101,동성하이타운,마을,129.088027000000000,35.133438170000000
0,181170101,동원로얄듀크아파트,마을,129.086959100000000,35.135995920000000
0,181200201,부산세무고등학교,마을,129.086932300000000,35.137832880000000
0,181210102,대우아파트,마을,129.089186000000000,35.150845280000000
0,181230101,부산예술대학,마을,129.086639600000000,35.141839690000000
0,181240301,부산예술대학,마을,129.086952200000000,35.141952700000000
0,181300101,SK뷰아파트104동,마을,129.118277000000000,35.104661000000000
0,181300102,해군예비군훈련장,마을,129.117246500000000,35.107742060000000
0,181300301,부산해군회관,마을,129.116645300000000,35.104577960000000
0,181350101,솔개삼거리,마을,129.083574100000000,35.113619870000000
0,181350102,현대1차아파트,마을,129.082368700000000,35.112892520000000
0,181360101,감만시장,마을,129.081526100000000,35.115986760000000
0,181380201,성도맨션,마을,129.086476700000000,35.112345890000000
0,181410101,부경대용당캠퍼스,마을,129.086403300000000,35.112864850000000
0,181410301,부경대용당캠퍼스,마을,129.087480200000000,35.114611260000000
0,181410302,유창그린아파트,마을,129.087126500000000,35.115013980000000
0,181420101,해양맨션,마을,129.084948100000000,35.113104030000000
0,181440201,유창그린아파트,마을,129.087087900000000,35.114878040000000
0,181450101,평화탕,마을,129.084021600000000,35.116420330000000
0,181460101,이원아파트,마을,129.085708100000000,35.116808080000000
0,181460201,감만시장,마을,129.082729000000000,35.116280990000000
0,181460202,평화탕,마을,129.084512700000000,35.116712800000000
0,181480101,이원맨션,마을,129.085716300000000,35.117128400000000
0,181480201,동항중학교,마을,129.084380300000000,35.118613390000000
0,181480202,동항중학교아랫골목,마을,129.084800700000000,35.117803700000000
0,181490101,한림맨션,마을,129.084990400000000,35.119467320000000
0,181490201,동항중학교,마을,129.084117900000000,35.118860200000000
0,181490202,동항중학교아랫골목,마을,129.084528500000000,35.118065590000000
0,181500301,대유그린빌,마을,129.086122100000000,35.119990290000000
0,181540201,안전가스상사,마을,129.086437700000000,35.120664730000000
0,181540301,한림맨션,마을,129.085056100000000,35.119726420000000
0,181550101,대유그린빌라,마을,129.086242000000000,35.120374960000000
0,181550201,감만2동새마을금고,마을,129.086193000000000,35.121810730000000
0,181560201,국제아파트,마을,129.085851900000000,35.122618960000000
0,181570202,백운포고개,마을,129.111740400000000,35.109060800000000
0,181570305,부산성모병원,마을,129.111236200000000,35.111249810000000
0,181570306,용호2동주민센터,마을,129.111150500000000,35.113933610000000
0,181570307,용호2동시장,마을,129.111160000000000,35.115627300000000
0,181570308,용호동우체국,마을,129.111541200000000,35.117529190000000
0,181570309,용호동사거리,마을,129.111867800000000,35.118504170000000
0,181640102,해연중학교,마을,129.082260500000000,35.138217910000000
0,181640201,연포초등학교,마을,129.080725000000000,35.138560400000000
0,181650101,마마빌라,마을,129.077683100000000,35.138125300000000
0,181650102,중앙고등학교,마을,129.078686900000000,35.137991790000000
0,181660101,연포초등학교,마을,129.080731700000000,35.138419930000000
0,181660102,태평양아파트,마을,129.080056400000000,35.138443670000000
0,181660201,마마빌라,마을,129.077844000000000,35.138191500000000
0,181660202,중앙고등학교,마을,129.078539500000000,35.138087990000000
0,181660203,태평양아파트,마을,129.079401400000000,35.138510350000000
0,181710201,금곡동부산은행,마을,129.017267400000000,35.266353860000000
0,181710301,금곡주차장,일반,129.018061700000000,35.267851670000000
0,181710302,금곡주차장,마을,129.017884200000000,35.267706670000000
0,181720201,금곡주차장,일반,129.017840000000000,35.267570000000000
0,181720202,금곡주차장,마을,129.017714200000000,35.267497730000000
0,181730101,금곡동부산은행,마을,129.017506500000000,35.266188070000000
0,181730301,금곡동새마을금고,마을,129.016699500000000,35.264954000000000
0,181740101,금곡동국민은행,마을,129.016615600000000,35.262606660000000
0,181740302,금곡중학교,마을,129.016183200000000,35.260473320000000
0,181750101,금곡동새마을금고,마을,129.016813000000000,35.264157800000000
0,181750301,금곡동국민은행,마을,129.016342000000000,35.262948130000000
0,181800101,북부경찰서,마을,129.010144900000000,35.230022280000000
0,181800301,대림쌍용아파트,마을,129.007971400000000,35.225068340000000
0,181800302,현대아파트,마을,129.009324100000000,35.227274910000000
0,181810102,대림아파트,마을,129.013566300000000,35.232353840000000
0,181810103,화명롯데캐슬아파트,마을,129.012806200000000,35.229212660000000
0,181810202,북부경찰서,마을,129.011836900000000,35.228087700000000
0,181820102,수정역,마을,129.009222300000000,35.222879420000000
0,181820303,성훈강변아파트,마을,129.005932400000000,35.218784020000000
0,181820304,구룡사,마을,129.004658300000000,35.216168370000000
0,181850102,화신중학교,마을,129.014093100000000,35.236472430000000
0,181860102,금곡동주민센터,마을,129.012754800000000,35.250290740000000
0,181870201,금곡주공5단지,마을,129.013943600000000,35.249293360000000
0,181870302,금곡동주민센터,마을,129.012697300000000,35.250482700000000
0,181890302,율리역,마을,129.012721000000000,35.247114730000000
0,181900101,화명역,마을,129.014007700000000,35.234870040000000
0,181900301,화명정수장입구,마을,129.015267800000000,35.234351150000000
0,181900302,화명현대아파트,마을,129.017497000000000,35.234212920000000
0,181900401,와석,마을,129.013475200000000,35.234056180000000
0,181900501,롯데마트,마을,129.013312800000000,35.234822970000000
0,181910201,롯데마트,마을,129.012306800000000,35.234560350000000
0,181930102,와석,마을,129.013875200000000,35.234079930000000
0,181930203,대림아파트,마을,129.013248000000000,35.232861890000000
0,181940301,코오롱하늘채아파트,마을,129.010477700000000,35.233733130000000
0,181960401,경부선화명역.고용복지센터,마을,129.009766100000000,35.235319400000000
0,182050101,코오롱하늘채아파트,마을,129.010799400000000,35.233684730000000
0,182050201,북부경찰서,마을,129.009982300000000,35.230877210000000
0,182110203,만덕2동주민센터,마을,129.037755300000000,35.210351020000000
0,182110204,만덕삼성아파트,마을,129.036706100000000,35.211810770000000
0,182120301,만덕역,마을,129.036239700000000,35.212524370000000
0,182140101,굿모닝힐304동,마을,129.034450500000000,35.208097640000000
0,182140401,굿모닝힐101동,마을,129.033961200000000,35.205650200000000
0,182140402,굿모닝힐상가,마을,129.033953100000000,35.207966320000000
0,182140403,백양초등학교,마을,129.033962500000000,35.206803660000000
0,182180103,구포역,마을,128.996056200000000,35.205505570000000
0,182250402,남산정역4번출구,마을,129.022845600000000,35.213435670000000
0,182260102,남정산역5번출구,마을,129.022929400000000,35.213157280000000
0,182260201,삼정그린코아아파트,마을,129.020519100000000,35.213373310000000
0,182260301,메가마트,마을,129.021825100000000,35.213557540000000
0,182270203,구포전화국,마을,129.018293800000000,35.213319380000000
0,182270204,덕천1동주민센터,마을,129.015820600000000,35.212893940000000
0,182270205,부민병원.덕천교회,마을,129.011248100000000,35.211746490000000
0,182270206,숙등역4번출구,마을,129.013417100000000,35.212285820000000
0,182280103,구포전화국,마을,129.018253600000000,35.213020370000000
0,182280104,덕천1동주민센터,마을,129.015531600000000,35.212507160000000
0,182280105,숙등역1번출구,마을,129.014322700000000,35.212222180000000
0,182280106,숙등역5번출구,마을,129.012205000000000,35.211669930000000
0,182280202,덕천주공입구,마을,129.011148700000000,35.209457540000000
0,182280302,덕천역,마을,129.008194400000000,35.210974600000000
0,182290102,덕천역,마을,129.007498200000000,35.210487270000000
0,182290103,부민병원.덕천교회,마을,129.010202800000000,35.211184800000000
0,182320202,벽산아파트,마을,129.012842100000000,35.244434250000000
0,182320302,율리역,마을,129.013091200000000,35.247031460000000
0,182330402,덕천교차로,마을,129.004797700000000,35.211903070000000
0,182330403,북구문화빙상센터,마을,129.004463700000000,35.213962940000000
0,182350501,만덕동일아파트입구,마을,129.025713900000000,35.214160680000000
0,182350601,협성대진아파트,마을,129.027959200000000,35.213769230000000
0,182380102,구포시장입구,마을,129.004862400000000,35.206494240000000
0,182390302,고려당제과점,마을,129.004029000000000,35.204052820000000
0,182410301,백조탕,마을,129.013060100000000,35.196343790000000
0,182420101,백산초등학교,마을,129.032771100000000,35.210589410000000
0,182430102,그린코아사거리,마을,129.030593900000000,35.210549420000000
0,182430201,동원아파트,마을,129.029470500000000,35.210256040000000
0,182430402,만덕현대아파트,마을,129.028896000000000,35.211823300000000
0,182430403,이노비즈센터,마을,129.026308200000000,35.212164880000000
0,182440201,만덕3주공아파트,마을,129.032975400000000,35.204293860000000
0,182440301,그린코아아파트후문,마을,129.032551600000000,35.205371340000000
0,182440302,롯데아파트,마을,129.023037000000000,35.209935240000000
0,182440303,만덕럭키아파트후문,마을,129.026523700000000,35.208043970000000
0,182440304,부산노인전문병원,마을,129.028684300000000,35.206427890000000
0,182440305,성원사입구,마을,129.020568200000000,35.210312140000000
0,182450201,롯데아파트,마을,129.022837800000000,35.209811720000000
0,182450202,럭키아파트후문,마을,129.026397100000000,35.207883610000000
0,182450203,부산노인전문병원,마을,129.028436000000000,35.206323520000000
0,182450204,그린코아아파트후문,마을,129.032354900000000,35.205189900000000
0,182450205,성원사입구,마을,129.019984400000000,35.210361100000000
0,182450304,덕천3동주민센터,마을,129.017813800000000,35.210340030000000
0,182450305,덕천주공아파트,마을,129.013228700000000,35.209195310000000
0,182450306,양천초등학교,마을,129.019271600000000,35.210705440000000
0,182450307,청우파크맨션,마을,129.015921700000000,35.209875470000000
0,182490101,화명유림아파트,마을,129.019295600000000,35.234770050000000
0,182490301,화명정수장입구,마을,129.015495800000000,35.234489080000000
0,182490302,화명현대아파트,마을,129.018050900000000,35.234481340000000
0,182500101,화인유통,마을,129.021194200000000,35.215987660000000
0,182500301,폴리텍대학부산캠퍼스,마을,129.020162400000000,35.215737900000000
0,182520101,옥천사입구,마을,129.025794700000000,35.215131550000000
0,182520201,만덕동일아파트입구,마을,129.025203300000000,35.214297860000000
0,182520301,가비골아파트104동,마을,129.023867400000000,35.215786830000000
0,182520302,기비골아파트101동입구,마을,129.025042200000000,35.214715680000000
0,182520303,화인유통,마을,129.022057900000000,35.216104220000000
0,182530101,기비골아파트104동,마을,129.023254800000000,35.215642750000000
0,182530102,기비골아파트101동입구,마을,129.024784100000000,35.214675360000000
0,182530103,기비골아파트101동후문,마을,129.024916100000000,35.215220710000000
0,182530301,도개공아파트110동,마을,129.020667100000000,35.216714410000000
0,182530302,도개공아파트115동,마을,129.020676500000000,35.218621780000000
0,182530303,도개공아파트116동,마을,129.020638400000000,35.217917540000000
0,182570101,흥아농장입구,마을,129.025799700000000,35.242404850000000
