,title,description,originallink,link,pubDate
771,&quot;합의·선처 절대 없어&quot; 그룹 &apos;르세라핌&apos;의 소속사 &apos;소스뮤직&apos;이 멤버들 악플...,"그룹 &apos;<b>뉴진스</b>&apos; 쏘스뮤직만 자사 아티스트 보호에 나선 것이 아니다. 같은 10일, 그룹 &apos;<b>뉴진스</b>&apos;의 소속사 어도어도 공식 SNS를 통해 비슷한 내용의 입장을 전했다. 어도어는 <b>뉴진스</b>와 당사 콘텐츠에 대한 악의적 비방... ",https://www.huffingtonpost.kr/news/articleView.html?idxno=200621,https://www.huffingtonpost.kr/news/articleView.html?idxno=200621,"Wed, 10 Aug 2022 19:10:00 +0900"
772,"<b>뉴진스</b>, 멜론 차트 1위…올해 데뷔 그룹 중 유일","걸그룹 <b>뉴진스</b>(NewJeans)가 멜론 실시간 차트 1위에 올랐다. <b>뉴진스</b>(민지, 하니, 다니엘, 해린, 혜인)의 데뷔곡 &apos;어텐션(Attention)&apos;은 지난 9일 오후 11시 멜론 실시간 차트 정상에 올랐으며, 10일 오후까지 최정상에... ",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208101903973057&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://n.news.naver.com/mnews/article/117/0003634319?sid=106,"Wed, 10 Aug 2022 19:04:00 +0900"
773,"‘민희진 걸그룹’ <b>뉴진스</b>, 악의적 비방 법적 대응…“선처·합의 없다”","‘민희진 걸그룹’ <b>뉴진스</b>, 악의적 비방 법적 대응…“선처·합의 없다” 신인 걸그룹 <b>뉴진스</b> 측이 악성 루머 등에 법적 대응을 예고했다. 10일 하이브 산하 레이블 어도어는 공식 SNS 등을 통해 “<b>뉴진스</b>(민지, 하니... ",https://www.viva100.com/main/view.php?key=20220810010002664,https://www.viva100.com/main/view.php?key=20220810010002664,"Wed, 10 Aug 2022 19:02:00 +0900"
774,<b>뉴진스</b> 음원 발매 8일 만에 빌보드 차트 올라 화제,영월 출신 민지(18)가 포함된 신인 아이돌 그룹 ‘<b>뉴진스</b>’가 미국 빌보드 차트에 올라 화제다. 그룹 <b>뉴진스</b>는 지난 1일 데뷔 앨범 &apos;<b>뉴진스</b>(NewJeans)&apos; 발매 후 8일만인 현지시각 지난 9일 데뷔곡 ‘어텐션’(Attention)... ,http://www.kwnews.co.kr/page/view/2022081018170656046,https://n.news.naver.com/mnews/article/087/0000916860?sid=102,"Wed, 10 Aug 2022 18:20:00 +0900"
775,"<b>뉴진스</b>, 데뷔 10일 만에 법적대응 예고…악플러와 전쟁 “선처 없을 것”","이투데이=한은수 | 신인 그룹 <b>뉴진스</b>가 악플러에 강경 대응한다. 10일 <b>뉴진스</b>의 소속사 어도어 측은 공식 SNS를 통해 “당사는 <b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실 유포, 명예훼손 등의 행위에 대해... ",https://www.etoday.co.kr/news/view/2162550,https://www.etoday.co.kr/news/view/2162550,"Wed, 10 Aug 2022 18:20:00 +0900"
776,"<b>뉴진스</b>, 멜론 차트 1위 ‘기염’",그룹 <b>뉴진스</b>(NewJeans)가 멜론 실시간 차트 1위에 오르며 &apos;대세&apos; 기류에 편승했다. <b>뉴진스</b>(민지 하니 다니엘 해린 혜인)의 데뷔곡 ‘Attention(어텐션)’은 지난 9일 오후 11시 멜론 실시간 차트 정상에 등극했다.... ,http://www.tvdaily.co.kr/read.php3?aid=16601222101649441010,http://www.tvdaily.co.kr/read.php3?aid=16601222101649441010,"Wed, 10 Aug 2022 18:04:00 +0900"
777,"하이브 르세라핌X<b>뉴진스</b>, 악플러 강경 대응 &quot;선처 없다&quot; [전문]","하이브 계열 쏘스뮤직과 어도어 소속 르세라핌과 <b>뉴진스</b>가 악플러에 강력 대응한다. 르세라핌과 <b>뉴진스</b>는 10일, 팬 소통 플랫폼인 위버스 공식 계정을 통해 악플러 대응 방안을 공지했다. 르세라핌과 <b>뉴진스</b> 측은 아티스트... ",https://www.tvreport.co.kr/2112104,https://n.news.naver.com/mnews/article/213/0001225338?sid=106,"Wed, 10 Aug 2022 18:02:00 +0900"
778,"민희진, <b>뉴진스</b> 로리타 의혹에 강경대응 예고 &quot;합의 없을 것&quot; [ST이슈]","소속사 하이브 산하 어도어가 내놓은 화제의 걸그룹 <b>뉴진스</b>(민지, 하니, 다니엘, 해린, 혜인)가 루머에 대해 법적 대응을 예고했다. 10일 어도어는 공식 트위터를 통해 &quot;<b>뉴진스</b> 권익을 침해하는 위법 혐의 사례에 대한 제보... ",http://www.stoo.com/article.php?aid=81926989826,http://www.stoo.com/article.php?aid=81926989826,"Wed, 10 Aug 2022 18:02:00 +0900"
779,"&apos;하이브&apos; 르세라핌·<b>뉴진스</b>, 나란히 성상품화 논란…&quot;법적 대응&quot; [종합]","성 상품화 논란에 휩싸였던 하이브 걸그룹 르세라핌, <b>뉴진스</b>가 법적 대응을 예고했다. 10일 어도어는 &quot;<b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실 유포, 명예훼손 등의 행위에 대해 당사는 지속적으로 법적... ",https://www.xportsnews.com/article/1616293,https://n.news.naver.com/mnews/article/311/0001487231?sid=106,"Wed, 10 Aug 2022 17:51:00 +0900"
780,"잘 나가는 <b>뉴진스</b>, 법적대응 시사한 이유",그룹 <b>뉴진스</b>가 악의적 비방 및 허위사실 유포 등에 대한 법적 대응을 시사했다. <b>뉴진스</b>의 소속사 어도어(ADOR)는 10일 공식 SNS를 통해 &apos;아티스트 권리침해 관련 법적 대응 제보 방법 안내&apos;라는 제목의 공지문을 게재했다.... ,https://hankookilbo.com/News/Read/A2022081017360001876?did=NA,https://n.news.naver.com/mnews/article/469/0000690927?sid=106,"Wed, 10 Aug 2022 17:50:00 +0900"
781,<b>뉴진스</b> 법적대응 입장 전해,"사진=어도어 인스타그램 <b>뉴진스</b>가 법적대응에 나섰다. 10일 <b>뉴진스</b> 소속사 어도어(ADOR)가 공식 트위터를 통해 &apos;<b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방 및 허위사실 유포, 명예훼손 등의 행위에 대해 법적 대응을 할... ",https://www.nbntv.co.kr/news/articleView.html?idxno=987871,https://www.nbntv.co.kr/news/articleView.html?idxno=987871,"Wed, 10 Aug 2022 17:50:00 +0900"
782,"<b>뉴진스</b> 법적대응, 악의적 비방에 “선처와 합의 없다”(공식입장 전문)","걸그룹 <b>뉴진스</b>가 악플러와 전쟁을 선포했다. 소속사 어도어 측은 10일 “<b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실 유포, 명예훼손 등의 행위에 대해 법적 대응을 할 방침”이라고 알렸다. 이어 “악성 게시물... ",http://star.mbn.co.kr/view.php?year=2022&no=706220&refer=portal,https://n.news.naver.com/mnews/article/057/0001682757?sid=106,"Wed, 10 Aug 2022 17:46:00 +0900"
783,"르세라핌·<b>뉴진스</b>, 악플러에 칼 빼들었다 &quot;선처·합의 NO&quot;",신인 그룹 르세라핌과 <b>뉴진스</b>가 악성 게시물에 법적으로 대응한다. 하이브 레이블 쏘스뮤직은 10일 공식 SNS를... <b>뉴진스</b> 소속사 어도어 역시 이날 악성 게시물 등에 대해 법적 대응을 예고하며 &quot;악성 게시물 등 위법 혐의... ,http://www.celuvmedia.com/article.php?aid=1660120894432409007,http://www.celuvmedia.com/article.php?aid=1660120894432409007,"Wed, 10 Aug 2022 17:44:00 +0900"
784,"<b>뉴진스</b>, &apos;선정성&apos; 논란 정면돌파… &quot;선처 없이 법적대응&quot;","걸그룹 <b>뉴진스</b> 측이 각종 논란에 강경 대응을 예고했다. 소속사 하이브의 산하 레이블이자 <b>뉴진스</b> 소속사 어도어(ADOR)는 10일 공식 트위터에 &quot;<b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실 유포, 명예훼손 등의... ",http://moneys.mt.co.kr/news/mwView.php?no=2022081017102675883,https://n.news.naver.com/mnews/article/417/0000841622?sid=106,"Wed, 10 Aug 2022 17:27:00 +0900"
785,"<b>뉴진스</b>, 악플러에 법적 대응 예고 &quot;선처·합의 없을 것&quot;[공식]","그룹 <b>뉴진스</b>가 악성 댓글에 법적 대응을 예고했다. 소속사 어도어 측은 10일 공식 SNS 계정을 통해 &quot;당사는 <b>뉴진스</b> 및 당사 콘텐츠와 관련한 악의적 비방, 허위사실 유포, 명예훼손 등의 행위에 대해 지속적으로 법적... ",http://star.mt.co.kr/stview.php?no=2022081017053012486,https://n.news.naver.com/mnews/article/108/0003078056?sid=106,"Wed, 10 Aug 2022 17:26:00 +0900"
